id,domain,rating,context_id,movie_id,song_id,user_id
2772,SONG,2.5,2972,,16,141
2773,SONG,1.5,2973,,34,141
2774,SONG,2,2974,,23,141
2775,SONG,3.5,2975,,9,141
2776,SONG,4,2976,,4,141
2777,SONG,3,2977,,6,141
2778,SONG,4.5,2980,,4,142
2779,MOVIE,2,2981,13,,142
2780,SONG,3,2982,,15,142
2781,SONG,5,2983,,13,142
2782,MOVIE,4,2984,34,,142
2783,MOVIE,3.5,2985,18,,142
2784,SONG,4,2987,,26,143
2785,SONG,3,2988,,4,143
2786,SONG,4,2989,,7,143
2787,MOVIE,3,2990,16,,143
2788,MOVIE,4.5,2991,33,,143
2789,MOVIE,5,2992,2,,143
2790,MOVIE,5,2993,11,,143
2791,MOVIE,4,2994,12,,143
2792,MOVIE,4,2995,4,,143
